Scientific Name,Status
Acroclita subsequana,Only in Natuurpunt
Acrocnida brachiata,Only in Natuurpunt
Acrocordia salweyi,Only in Natuurpunt
Acrodactyla degener,Only in Natuurpunt
Acrolepia autumnitella,Only in Natuurpunt
Acrolepiopsis assectella,Only in Natuurpunt
Acroloxus lacustris,Only in Natuurpunt
Acrolyta marginata,Only in Natuurpunt
Acronicta aceris,Only in Natuurpunt
Acronicta alni,Only in Natuurpunt
Acronicta auricoma,Only in Natuurpunt
Acronicta cuspis,Only in Natuurpunt
Acronicta leporina,Only in Natuurpunt
Acronicta menyanthidis,Only in Natuurpunt
Acronicta psi,Only in Natuurpunt
Acronicta rumicis,Only in Natuurpunt
Acronicta strigosa,Only in Natuurpunt
Acronicta tridens,Only in Natuurpunt
Acroperus harpae,Only in Natuurpunt
Acroricnus stylator,Only in Natuurpunt
Acrosathe annulata,Only in Natuurpunt
Acrospermum adeanum,Only in Natuurpunt
Acrospermum compressum,Only in Natuurpunt
Acrospermum graminum,Only in Natuurpunt
Acrospermum pallidulum,Only in Natuurpunt
Actaea spicata,Only in Natuurpunt
Actebia praecox,Only in Natuurpunt
Actenicerus sjaelandicus,Only in Natuurpunt
Acteon tornatilis,Only in Natuurpunt
Actias selene,Only in Natuurpunt
Actidium hysterioides,Only in Natuurpunt
Actina chalybea,Only in Natuurpunt
Actinia equina,Only in Natuurpunt
Actinia striata,Only in Natuurpunt
Actinidia deliciosa,Only in Natuurpunt
Actinocladium rhodosporum,Only in Natuurpunt
Actinotaenium cucurbita,Only in Natuurpunt
Actinotaenium curtum,Only in Natuurpunt
Actinotaenium diplosporum,Only in Natuurpunt
Actinotaenium geniculatum,Only in Natuurpunt
Actinotaenium riethii,Only in Natuurpunt
Actinotaenium silvae-nigrae,Only in Natuurpunt
Actinotaenium turgidum,Only in Natuurpunt
Actinotia polyodon,Only in Natuurpunt
Actitis hypoleucos,Only in Natuurpunt
Actitis macularius,Only in Natuurpunt
Aculepeira ceropegia,Only in Natuurpunt
Aculops macrotrichus,Only in Natuurpunt
Aculus anthobius,Only in Natuurpunt
Aculus hippocastani,Only in Natuurpunt
Aculus magnirostris,Only in Natuurpunt
Aculus scutellariae,Only in Natuurpunt
Aculus tetanothrix,Only in Natuurpunt
Aculus teucrii,Only in Natuurpunt
Acupalpus brunnipes,Only in Natuurpunt
Acupalpus dubius,Only in Natuurpunt
Acupalpus exiguus,Only in Natuurpunt
Acupalpus flavicollis,Only in Natuurpunt
Acupalpus meridianus,Only in Natuurpunt
Acupalpus parvulus,Only in Natuurpunt
Acyrthosiphon pisum,Only in Natuurpunt
Adaina microdactyla,Only in Natuurpunt
Adalia decempunctata,Only in Natuurpunt
Adamsia palliata,Only in Natuurpunt
Adarrus multinotatus,Only in Natuurpunt
Adela croesella,Only in Natuurpunt
Adela cuprella,Only in Natuurpunt
Adela reaumurella,Only in Natuurpunt
Adela violella,Only in Natuurpunt
Adelges laricis,Only in Natuurpunt
Adelges tardus,Only in Natuurpunt
Adelius subfasciatus,Only in Natuurpunt
Adelognathus pusillus,Only in Natuurpunt
Adelphocoris lineolatus,Only in Natuurpunt
Adelphocoris quadripunctatus,Only in Natuurpunt
Adelphocoris seticornis,Only in Natuurpunt
Adelphocoris ticinensis,Only in Natuurpunt
Aderus populneus,Only in Natuurpunt
Adiantum aleuticum,Only in Natuurpunt
Adiantum capillus-veneris,Only in Natuurpunt
Adiantum raddianum,Only in Natuurpunt
Adicella reducta,Only in Natuurpunt
Admontia blanda,Only in Natuurpunt
Adomerus biguttatus,Only in Natuurpunt
Adonis annua,Only in Natuurpunt
Adonis flammea,Only in Natuurpunt
Adoxa moschatellina,Only in Natuurpunt
Adoxophyes orana,Only in Natuurpunt
Adrastus pallens,Only in Natuurpunt
Adscita geryon,Only in Natuurpunt
Adscita statices,Only in Natuurpunt
Aedes albopictus,Only in Natuurpunt
Aedes caspius,Only in Natuurpunt
Aedes cinereus,Only in Natuurpunt
Aedes japonicus,Only in Natuurpunt
Aedes rusticus,Only in Natuurpunt
Aedes sticticus,Only in Natuurpunt
Aedes vexans,Only in Natuurpunt
Aedia funesta,Only in Natuurpunt
Aedia leucomelas,Only in Natuurpunt
Aegialia arenaria,Only in Natuurpunt
Aegilops cylindrica,Only in Natuurpunt
Aegolius funereus,Only in Natuurpunt
Aegopinella nitidula,Only in Natuurpunt
Aegopinella pura,Only in Natuurpunt
Aegosoma scabricorne,Only in Natuurpunt
Aegypius monachus,Only in Natuurpunt
Aelia acuminata,Only in Natuurpunt
Aelia klugii,Only in Natuurpunt
Aellopus atratus,Only in Natuurpunt
Aelurillus v-insignitus,Only in Natuurpunt
Aeolidia papillosa,Only in Natuurpunt
Aeolothrips albicinctus,Only in Natuurpunt
Aeolothrips ericae,Only in Natuurpunt
Aeolothrips intermedius,Only in Natuurpunt
Aeolothrips melaleucus,Only in Natuurpunt
Aequipecten opercularis,Only in Natuurpunt
Aequorea forskalea,Only in Natuurpunt
Aequorea vitrina,Only in Natuurpunt
Aesculus flava,Only in Natuurpunt
Aesculus parviflora,Only in Natuurpunt
Aesculus pavia,Only in Natuurpunt
Aeshna affinis,Only in Natuurpunt
Aeshna grandis,Only in Natuurpunt
Aeshna isoceles,Only in Natuurpunt
Aeshna mixta,Only in Natuurpunt
Aeshna subarctica,Only in Natuurpunt
Aethalura punctulata,Only in Natuurpunt
Aethes bilbaensis,Only in Natuurpunt
Aethes cnicana,Only in Natuurpunt
Aethes dilucidana,Only in Natuurpunt
Aethes francillana,Only in Natuurpunt
Aethes hartmanniana,Only in Natuurpunt
Aethes margaritana,Only in Natuurpunt
Aethes piercei,Only in Natuurpunt
Aethes rubigana,Only in Natuurpunt
Aethes rutilana,Only in Natuurpunt
Aethes smeathmanniana,Only in Natuurpunt
Aethes tesserana,Only in Natuurpunt
Aethes tornella,Only in Natuurpunt
Aethes williana,Only in Natuurpunt
Aethusa cynapium,Only in Natuurpunt
Agabus affinis,Only in Natuurpunt
Agabus bipustulatus,Only in Natuurpunt
Agabus congener,Only in Natuurpunt
Agabus conspersus,Only in Natuurpunt
Agabus didymus,Only in Natuurpunt
Agabus guttatus,Only in Natuurpunt
Agabus labiatus,Only in Natuurpunt
Agabus melanarius,Only in Natuurpunt
Agabus nebulosus,Only in Natuurpunt
Agabus paludosus,Only in Natuurpunt
Agabus striolatus,Only in Natuurpunt
Agabus sturmii,Only in Natuurpunt
Agabus uliginosus,Only in Natuurpunt
Agabus undulatus,Only in Natuurpunt
Agabus unguicularis,Only in Natuurpunt
Agalenatea redii,Only in Natuurpunt
Agallia consobrina,Only in Natuurpunt
Agalmatium bilobum,Only in Natuurpunt
Agapanthia cardui,Only in Natuurpunt
Agapanthia intermedia,Only in Natuurpunt
Agapanthia villosoviridescens,Only in Natuurpunt
Agapeta hamana,Only in Natuurpunt
Agapeta zoegana,Only in Natuurpunt
Agapetus fuscipes,Only in Natuurpunt
Agapetus ochripes,Only in Natuurpunt
Agapornis canus,Only in Natuurpunt
Agapornis fischeri,Only in Natuurpunt
Agapornis personatus,Only in Natuurpunt
