Scientific Name,Status
Medicago lupulina,In both app and Natuurpunt
Medicago sativa,In both app and Natuurpunt
Meles meles,In both app and Natuurpunt
Melilotus officinalis,In both app and Natuurpunt
Mentha spicata,In both app and Natuurpunt
Mespilus germanica,In both app and Natuurpunt
Meum athamanticum,In both app and Natuurpunt
Micromys minutus,In both app and Natuurpunt
Morchella esculenta,In both app and Natuurpunt
Motacilla alba,In both app and Natuurpunt
Mustela erminea,In both app and Natuurpunt
Mustela nivalis,In both app and Natuurpunt
Mycelis muralis,In both app and Natuurpunt
Myosotis arvensis,In both app and Natuurpunt
Myrrhis odorata,In both app and Natuurpunt
Narcissus poeticus,In both app and Natuurpunt
Nasturtium officinale,In both app and Natuurpunt
Nepeta cataria,In both app and Natuurpunt
Nuphar lutea,In both app and Natuurpunt
Nymphaea alba,In both app and Natuurpunt
Nymphoides peltata,In both app and Natuurpunt
Ocimum basilicum,In both app and Natuurpunt
Oenothera biennis,In both app and Natuurpunt
Ononis spinosa,In both app and Natuurpunt
Origanum vulgare,In both app and Natuurpunt
Oryctolagus cuniculus,In both app and Natuurpunt
Oxalis acetosella,In both app and Natuurpunt
Palomena prasina,In both app and Natuurpunt
Papaver rhoeas,In both app and Natuurpunt
Papilio machaon,In both app and Natuurpunt
Parus major,In both app and Natuurpunt
Passer domesticus,In both app and Natuurpunt
Pastinaca sativa,In both app and Natuurpunt
Persicaria hydropiper,In both app and Natuurpunt
Persicaria lapathifolia,In both app and Natuurpunt
Persicaria maculosa,In both app and Natuurpunt
Phoenicurus ochruros,In both app and Natuurpunt
Phragmites australis,In both app and Natuurpunt
Physalis alkekengi,In both app and Natuurpunt
Phyteuma spicatum,In both app and Natuurpunt
Pica pica,In both app and Natuurpunt
Picea abies,In both app and Natuurpunt
Picus viridis,In both app and Natuurpunt
Pieris brassicae,In both app and Natuurpunt
Pilosella officinarum,In both app and Natuurpunt
Pimpinella saxifraga,In both app and Natuurpunt
Pinus nigra,In both app and Natuurpunt
Pinus sylvestris,In both app and Natuurpunt
Plantago lanceolata,In both app and Natuurpunt
Plantago major,In both app and Natuurpunt
Pleurotus ostreatus,In both app and Natuurpunt
Polygonatum multiflorum,In both app and Natuurpunt
Polygonum aviculare,In both app and Natuurpunt
Polyommatus icarus,In both app and Natuurpunt
Populus alba,In both app and Natuurpunt
Populus tremula,In both app and Natuurpunt
Portulaca oleracea,In both app and Natuurpunt
Potamogeton crispus,In both app and Natuurpunt
Potentilla anserina,In both app and Natuurpunt
Potentilla erecta,In both app and Natuurpunt
Potentilla reptans,In both app and Natuurpunt
Primula veris,In both app and Natuurpunt
Prunella vulgaris,In both app and Natuurpunt
Prunus avium,In both app and Natuurpunt
Prunus mahaleb,In both app and Natuurpunt
Prunus padus,In both app and Natuurpunt
Prunus spinosa,In both app and Natuurpunt
Pseudotsuga menziesii,In both app and Natuurpunt
Pulmonaria officinalis,In both app and Natuurpunt
Pyrrhocoris apterus,In both app and Natuurpunt
Pyrus pyraster,In both app and Natuurpunt
Quercus ilex,In both app and Natuurpunt
Quercus petraea,In both app and Natuurpunt
Quercus pubescens,In both app and Natuurpunt
Quercus robur,In both app and Natuurpunt
Rana temporaria,In both app and Natuurpunt
Ranunculus acris,In both app and Natuurpunt
Raphanus raphanistrum,In both app and Natuurpunt
Reseda lutea,In both app and Natuurpunt
Reseda luteola,In both app and Natuurpunt
Rhinanthus minor,In both app and Natuurpunt
Ribes alpinum,In both app and Natuurpunt
Ribes uva-crispa,In both app and Natuurpunt
Robinia pseudoacacia,In both app and Natuurpunt
Rubus idaeus,In both app and Natuurpunt
Rumex acetosa,In both app and Natuurpunt
Rumex acetosella,In both app and Natuurpunt
Rumex crispus,In both app and Natuurpunt
Russula cyanoxantha,In both app and Natuurpunt
Sagittaria sagittifolia,In both app and Natuurpunt
Salamandra salamandra,In both app and Natuurpunt
Salix alba,In both app and Natuurpunt
Salix caprea,In both app and Natuurpunt
Salvia pratensis,In both app and Natuurpunt
Sambucus nigra,In both app and Natuurpunt
Sanguisorba officinalis,In both app and Natuurpunt
Saponaria officinalis,In both app and Natuurpunt
Sarcoscypha coccinea,In both app and Natuurpunt
Saxifraga granulata,In both app and Natuurpunt
Scabiosa columbaria,In both app and Natuurpunt
Scilla bifolia,In both app and Natuurpunt
Sciurus vulgaris,In both app and Natuurpunt
Scorzoneroides autumnalis,In both app and Natuurpunt
Sedum album,In both app and Natuurpunt
Senecio vulgaris,In both app and Natuurpunt
Silaum silaus,In both app and Natuurpunt
Silene dioica,In both app and Natuurpunt
Silene flos-cuculi,In both app and Natuurpunt
Silene latifolia,In both app and Natuurpunt
Sinapis arvensis,In both app and Natuurpunt
Sisymbrium officinale,In both app and Natuurpunt
Sitta europaea,In both app and Natuurpunt
Solanum nigrum,In both app and Natuurpunt
Solanum tuberosum,In both app and Natuurpunt
Solidago canadensis,In both app and Natuurpunt
Solidago gigantea,In both app and Natuurpunt
Sonchus arvensis,In both app and Natuurpunt
Sonchus asper,In both app and Natuurpunt
Sorbus aria,In both app and Natuurpunt
Sorbus aucuparia,In both app and Natuurpunt
Sparganium erectum,In both app and Natuurpunt
Stachys palustris,In both app and Natuurpunt
Stachys sylvatica,In both app and Natuurpunt
Stellaria graminea,In both app and Natuurpunt
Stellaria holostea,In both app and Natuurpunt
Stellaria media,In both app and Natuurpunt
Streptopelia decaocto,In both app and Natuurpunt
Sturnus vulgaris,In both app and Natuurpunt
Succisa pratensis,In both app and Natuurpunt
Sus scrofa,In both app and Natuurpunt
Symphytum officinale,In both app and Natuurpunt
Talpa europaea,In both app and Natuurpunt
Tanacetum vulgare,In both app and Natuurpunt
Taraxacum officinale,In both app and Natuurpunt
Taxus baccata,In both app and Natuurpunt
Thymus serpyllum,In both app and Natuurpunt
Tilia cordata,In both app and Natuurpunt
Tilia platyphyllos,In both app and Natuurpunt
Tilia tomentosa,In both app and Natuurpunt
Tragopogon pratensis,In both app and Natuurpunt
Trametes versicolor,In both app and Natuurpunt
Tremella mesenterica,In both app and Natuurpunt
Trifolium medium,In both app and Natuurpunt
Trifolium pratense,In both app and Natuurpunt
Trifolium repens,In both app and Natuurpunt
Tripolium pannonicum,In both app and Natuurpunt
Triticum aestivum,In both app and Natuurpunt
Turdus merula,In both app and Natuurpunt
Turdus philomelos,In both app and Natuurpunt
Tussilago farfara,In both app and Natuurpunt
Typha latifolia,In both app and Natuurpunt
Ulmus glabra,In both app and Natuurpunt
Ulmus minor,In both app and Natuurpunt
Ulmus procera,In both app and Natuurpunt
Urtica dioica,In both app and Natuurpunt
Urtica urens,In both app and Natuurpunt
Vaccinium myrtillus,In both app and Natuurpunt
Vaccinium vitis-idaea,In both app and Natuurpunt
Valeriana officinalis,In both app and Natuurpunt
Valerianella locusta,In both app and Natuurpunt
Vanellus vanellus,In both app and Natuurpunt
Vanessa atalanta,In both app and Natuurpunt
Vanessa cardui,In both app and Natuurpunt
Verbascum thapsus,In both app and Natuurpunt
Verbena officinalis,In both app and Natuurpunt
Veronica beccabunga,In both app and Natuurpunt
Veronica chamaedrys,In both app and Natuurpunt
Veronica officinalis,In both app and Natuurpunt
Vespa crabro,In both app and Natuurpunt
Vespula vulgaris,In both app and Natuurpunt
Vicia cracca,In both app and Natuurpunt
Vicia sepium,In both app and Natuurpunt
Viola arvensis,In both app and Natuurpunt
Viola odorata,In both app and Natuurpunt
Viola tricolor,In both app and Natuurpunt
Vipera berus,In both app and Natuurpunt
Viscum album,In both app and Natuurpunt
Vitis vinifera,In both app and Natuurpunt
Vulpes vulpes,In both app and Natuurpunt
Xylaria polymorpha,In both app and Natuurpunt
Xylocopa violacea,In both app and Natuurpunt
